Track A Loop and Stop, Train: 74, Speed: 14, Loops: 2, Trigger: L0
d(L0-L1) (cm/ms), 0.030303030303030304

Track A Loop and Stop, Train: 78, Speed: 11, Loops: 2, Trigger: L0
C14, 1583741918091
A4, 1583741919902
B16, 1583741921225
C5, 1583741922757
C15, 1583741923593
D12, 1583741924915
E11, 1583741925751
D10, 1583741926865
D8, 1583741929302
E8, 1583741930486
C14, 1583741933140
A4, 1583741934881
B16, 1583741936274
C5, 1583741937736
C15, 1583741938641
D12, 1583741939964
E11, 1583741940730
D10, 1583741941914
D8, 1583741944281
E8, 1583741945465
L1, 302514
L0, 302578
L0-L1 (2cm spacing), 64
d(L0-L1) (cm/ms), 0.03125
L1, 317530
L0, 317594
L0-L1 (2cm spacing), 64
d(L0-L1) (cm/ms), 0.03125

Track A Loop and Stop, Train: 78, Speed: 14, Loops: 2, Trigger: L0
C14, 1583742116883
A4, 1583742117997
B16, 1583742118902
C5, 1583742119877
C15, 1583742120434
D12, 1583742121339
E11, 1583742121826
D10, 1583742122592
D8, 1583742124194
E8, 1583742124960
C14, 1583742126709
A4, 1583742127893
B16, 1583742128798
C5, 1583742129773
C15, 1583742130330
D12, 1583742131235
E11, 1583742131792
D10, 1583742132489
D8, 1583742134090
E8, 1583742134856
L1, 23476
L0, 23518
L0-L1 (2cm spacing), 42
d(L0-L1) (cm/ms), 0.047619047619047616
L1, 33329
L0, 33371
L0-L1 (2cm spacing), 42
d(L0-L1) (cm/ms), 0.047619047619047616

Track A Loop and Stop, Train: 78, Speed: 14, Loops: 2, Trigger: L0
C14, 1583742197473
A4, 1583742198657
B16, 1583742199492
C5, 1583742200467
C15, 1583742201094
D12, 1583742201929
E11, 1583742202487
D10, 1583742203183
D8, 1583742204785
E8, 1583742205550
C14, 1583742207299
A4, 1583742208483
B16, 1583742209319
C5, 1583742210294
C15, 1583742210851
D12, 1583742211687
E11, 1583742212244
D10, 1583742213010
D8, 1583742214541
E8, 1583742215307
L1, 104052
L0, 104094
L0-L1 (2cm spacing), 42
d(L0-L1) (cm/ms), 0.047619047619047616
L1, 113850
L0, 113893
L0-L1 (2cm spacing), 43
d(L0-L1) (cm/ms), 0.046511627906976744

Track A Loop and Stop, Train: 24, Speed: 8, Loops: 2, Trigger: L0
C14, 1583742775079
A4, 1583742777795
B16, 1583742779814
C5, 1583742782043
C15, 1583742783365
D12, 1583742785315
E11, 1583742786569
D10, 1583742788240
D8, 1583742791861
E8, 1583742793602
C14, 1583742797718
A4, 1583742800364
B16, 1583742802384
C5, 1583742804612
C15, 1583742806004
D12, 1583742807885
E11, 1583742809208
D10, 1583742810879
D8, 1583742814430
E8, 1583742816241
L1, 49871
L0, 49966
L0-L1 (2cm spacing), 95
d(L0-L1) (cm/ms), 0.021052631578947368
L1, 72458
L0, 72554
L0-L1 (2cm spacing), 96
d(L0-L1) (cm/ms), 0.020833333333333332

Track A Loop and Stop, Train: 24, Speed: 8, Loops: 2, Trigger: L0
C14, 1583742980563
A4, 1583742983209
B16, 1583742985229
C5, 1583742987457
C15, 1583742988850
D12, 1583742990730
E11, 1583742992053
D10, 1583742993724
D8, 1583742997275
E8, 1583742999016
C14, 1583743003133
A4, 1583743005779
B16, 1583743007798
C5, 1583743010027
C15, 1583743011350
D12, 1583743013299
E11, 1583743014553
D10, 1583743016224
D8, 1583743019845
E8, 1583743021586
L1, 255294
L0, 255387
L0-L1 (2cm spacing), 93
d(L0-L1) (cm/ms), 0.021505376344086023
L1, 277839
L0, 277930
L0-L1 (2cm spacing), 91
d(L0-L1) (cm/ms), 0.02197802197802198

Track A Loop and Stop, Train: 24, Speed: 11, Loops: 2, Trigger: L0
C14, 1583743084526
A4, 1583743085988
B16, 1583743087033
C5, 1583743088217
C15, 1583743088983
D12, 1583743089957
E11, 1583743090654
D10, 1583743091559
D8, 1583743093439
E8, 1583743094414
C14, 1583743096581
A4, 1583743098043
B16, 1583743099088
C5, 1583743100271
C15, 1583743101037
D12, 1583743102012
E11, 1583743102709
D10, 1583743103614
D8, 1583743105494
E8, 1583743106469
L1, 350453
L0, 350505
L0-L1 (2cm spacing), 52
d(L0-L1) (cm/ms), 0.038461538461538464
L1, 362506
L0, 362557
L0-L1 (2cm spacing), 51
d(L0-L1) (cm/ms), 0.0392156862745098

Track A Loop and Stop, Train: 24, Speed: 11, Loops: 2, Trigger: L0
C14, 1583743176237
A4, 1583743177700
B16, 1583743178744
C5, 1583743179928
C15, 1583743180694
D12, 1583743181669
E11, 1583743182365
D10, 1583743183270
D8, 1583743185151
E8, 1583743186125
C14, 1583743188292
A4, 1583743189755
B16, 1583743190799
C5, 1583743191983
C15, 1583743192749
